"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2018","983.20","985.00","987.40","980.80","2.06M","-0.06%"
"Oct 02, 2018","983.80","980.00","987.60","974.60","2.38M","0.02%"
"Oct 01, 2018","983.60","986.60","986.60","973.40","3.33M","-0.38%"
"Sep 28, 2018","987.40","965.20","995.20","963.60","6.03M","2.22%"
"Sep 27, 2018","966.00","985.20","997.60","964.40","5.10M","-2.46%"
"Sep 26, 2018","990.40","989.20","996.00","983.40","3.03M","0.08%"
"Sep 25, 2018","989.60","996.20","997.20","984.80","3.04M","-0.78%"
"Sep 24, 2018","997.40","985.00","997.40","960.89","3.80M","0.52%"
"Sep 21, 2018","992.20","998.80","1,000.00","975.44","10.43M","-0.34%"
"Sep 20, 2018","995.60","987.60","995.80","983.20","3.05M","0.77%"
"Sep 19, 2018","988.00","980.00","992.90","976.40","2.95M","0.98%"
"Sep 18, 2018","978.40","980.20","985.00","977.60","2.76M","-0.45%"
"Sep 17, 2018","982.80","980.00","985.00","970.40","3.09M","0.16%"
"Sep 14, 2018","981.20","957.60","982.80","957.60","5.17M","2.74%"
"Sep 13, 2018","955.00","955.00","958.80","945.80","3.95M","-0.97%"
"Sep 12, 2018","964.40","972.00","973.60","928.80","8.50M","-1.09%"
"Sep 11, 2018","975.00","974.40","975.00","965.60","4.32M","0.18%"
"Sep 10, 2018","973.20","972.40","979.02","962.20","4.34M","0.33%"
"Sep 07, 2018","970.00","977.80","981.80","957.80","5.76M","-0.43%"
"Sep 06, 2018","974.20","964.80","986.60","963.20","13.20M","0.79%"
"Sep 05, 2018","966.60","1,000.00","1,004.00","963.80","6.24M","-3.34%"
"Sep 04, 2018","1,000.00","1,012.00","1,015.00","998.40","3.06M","-0.94%"
"Sep 03, 2018","1,009.50","1,006.50","1,013.00","1,005.00","2.23M","0.45%"
"Aug 31, 2018","1,005.00","1,012.50","1,013.50","1,005.00","3.78M","-1.13%"
"Aug 30, 2018","1,016.50","1,017.00","1,018.50","1,003.50","3.36M","0.05%"
"Aug 29, 2018","1,016.00","1,014.00","1,026.88","1,011.00","2.78M","0.49%"
"Aug 28, 2018","1,011.00","1,024.00","1,024.00","1,002.45","3.03M","0.10%"
"Aug 24, 2018","1,010.00","1,009.00","1,014.50","1,003.50","2.02M","0.30%"
"Aug 23, 2018","1,007.00","1,019.00","1,019.50","1,005.00","2.34M","-0.89%"
"Aug 22, 2018","1,016.00","1,014.50","1,023.00","1,008.50","3.44M","-0.73%"
"Aug 21, 2018","1,023.50","1,029.50","1,030.30","1,020.00","1.95M","-0.58%"
"Aug 20, 2018","1,029.50","1,023.00","1,034.00","1,016.00","2.42M","0.59%"
"Aug 17, 2018","1,023.50","1,012.00","1,024.50","1,012.00","3.66M","0.84%"
"Aug 16, 2018","1,015.00","1,010.50","1,021.50","1,009.50","2.92M","1.00%"
"Aug 15, 2018","1,005.00","1,036.50","1,039.00","999.40","4.45M","-2.76%"
"Aug 14, 2018","1,033.50","1,041.50","1,047.00","1,033.00","2.65M","-0.34%"
"Aug 13, 2018","1,037.00","1,036.00","1,041.45","1,034.50","2.60M","-0.67%"
"Aug 10, 2018","1,044.00","1,050.00","1,061.00","1,040.50","4.86M","-3.69%"
"Aug 09, 2018","1,084.00","1,086.00","1,088.00","1,076.00","3.07M","-0.46%"
"Aug 08, 2018","1,089.00","1,084.50","1,093.00","1,082.50","3.92M","0.51%"
"Aug 07, 2018","1,083.50","1,080.00","1,098.50","1,071.00","5.03M","0.18%"
"Aug 06, 2018","1,081.50","1,093.50","1,094.00","1,080.00","3.91M","-1.14%"
"Aug 03, 2018","1,094.00","1,064.00","1,104.50","1,062.50","8.88M","3.40%"
"Aug 02, 2018","1,058.00","1,037.00","1,065.50","966.40","11.71M","7.11%"
"Aug 01, 2018","987.80","992.80","1,000.50","980.00","3.54M","-0.32%"
"Jul 31, 2018","991.00","992.40","1,000.09","987.60","3.17M","0.08%"
"Jul 30, 2018","990.20","988.00","994.00","980.20","1.98M","-0.38%"
"Jul 27, 2018","994.00","999.00","1,000.21","986.20","2.88M","-0.10%"
"Jul 26, 2018","995.00","995.00","1,000.21","986.40","2.20M","0.55%"
"Jul 25, 2018","989.60","985.00","992.40","981.00","2.79M","0.12%"
